Paper,Year,Problem,Noise Type,Noise Assumption,Model/Classifiers,Dataset,Method,Theory,Empirical Study,Transition Matrix,Loss Correction,Robust Loss,Calibration,Memorisation,Realistic Noise,Main Contribution,Known Limitation,Potential Overlap,Relevance
"Zhang & Sabuncu",2018,"Generalized Cross Entropy Loss for Training Deep Neural Networks with Noisy Labels",Symmetric & Asymmetric,"Class-conditional noise",Deep CNNs (ResNet/VGG),CIFAR-10/CIFAR-100/Clothing1M,Generalized Cross Entropy (GCE / L_q loss),Yes,Yes,No,No,Yes,No,Yes,Yes,"Developed GCE (L_q loss) interpolating between Cross Entropy (q->0) and MAE (q=1) with negative Box-Cox transformation",Requires tuning hyperparameter q; performance degrades under extreme asymmetric noise,High,Critical Core
"Han et al.",2018,"Co-teaching: Robust Training of Deep Neural Networks with Extremely Noisy Labels",Symmetric & Asymmetric,"Class-conditional noise",Deep CNNs,MNIST/CIFAR-10/CIFAR-100,Dual-network cross-training with small-loss selection,No,Yes,No,No,No,No,Yes,No,"Introduced Co-teaching where two networks peer-filter small-loss samples for each other to avoid confirmation bias",Double computational cost (trains two models); can discard hard clean samples,High,Critical Core
"Wang et al.",2019,"Symmetric Cross Entropy for Robust Learning with Noisy Labels",Symmetric & Asymmetric,"Class-conditional noise",Deep CNNs,CIFAR-10/CIFAR-100/Clothing1M,Symmetric Cross Entropy (SCE = CE + RCE),Yes,Yes,No,No,Yes,No,Yes,Yes,"Introduced Reverse Cross Entropy (RCE) and proved SCE is robust to symmetric label noise while maintaining gradient flow",Requires alpha/beta weighting balancing; reverse cross entropy can suffer from underfitting,High,Critical Core
"Charoenphakdee et al.",2019,"On Symmetric Losses for Learning from Corrupted Labels",Symmetric & Asymmetric,"General corrupted label distributions",Deep CNNs / Linear models,CIFAR-10/SVHN/UCI,Symmetric loss classification calibration condition,Yes,Yes,No,No,Yes,No,No,No,"Proved that symmetric losses are strictly noise-tolerant under symmetric noise but not inherently under asymmetric noise",Demonstrated severe optimization degradation of pure symmetric losses (MAE) on complex datasets,Very High,Critical Core
"Xia et al.",2019,"Are Anchor Points Really Indispensable in Label-Noise Learning?",Class-conditional,"Transition matrix T exists without anchor points",Deep CNNs (ResNet-18),CIFAR-10/CIFAR-100/Clothing1M,Dual T-Estimator / Slack transition matrix estimation,Yes,Yes,Yes,Yes,No,No,No,Yes,"Introduced intermediate transition matrix estimation without requiring extreme anchor points via slack variables",Adds optimization complexity and additional hyperparameter tuning,High,Critical Core
"Thulasidasan et al.",2019,"On the Efficacy of Mixup for Reducing Ambiguity and Miscalibration",Symmetric / Real,"Data interpolation",ResNet/VGG,CIFAR-10/CIFAR-100/ImageNet,Mixup training for calibration under noise,No,Yes,No,No,No,Yes,Yes,No,"Demonstrated that Mixup regularisation prevents noisy label memorisation and reduces Expected Calibration Error (ECE)",Does not explicitly correct for asymmetric transition matrices,High,High
"Li et al.",2020,"DivideMix: Learning with Noisy Labels as Semi-Supervised Learning",Symmetric & Asymmetric,"Class-conditional noise",PreAct-ResNet18,CIFAR-10/CIFAR-100/Clothing1M/WebVision,DivideMix (GMM per-sample loss modeling + MixMatch SSL),No,Yes,No,No,No,No,Yes,Yes,"State-of-the-art semi-supervised framework fitting a 2-component GMM on per-sample losses to divide data into clean and noisy sets",Extremely heavy training pipeline (2 networks + warm-up + MixMatch + Co-refinement),High,Critical Core
"Northcutt et al.",2021,"Confident Learning: Estimating Uncertainty in Dataset Labels",Class-conditional / Real,"Joint distribution P(Y_tilde, Y*) estimable from out-of-sample predicted probabilities",ResNet / Logistic / FastText,CIFAR-10/ImageNet/Amazon Reviews,Cleanlab (Joint distribution estimation + sample pruning),Yes,Yes,Yes,Yes,No,No,No,Yes,"Formulated Confident Learning to directly estimate the joint distribution of noisy and true labels; open-source Cleanlab",Pruning can discard valid edge cases; requires reliable out-of-sample probability estimates,Very High,Critical Core
"Cheng et al.",2020,"Learning with Bounded Instance- and Label-Dependent Label Noise",Instance-dependent,"P(Y_tilde | X, Y) depends directly on feature representation X",Linear & Deep CNNs,Synthetic/CIFAR,Boundary-consistent Bayes optimal risk minimization,Yes,Yes,Yes,No,No,No,No,No,"Formalized instance-dependent noise bounds and proved conditions under which surrogate risk minimization preserves Bayes optimality",Assumes bounded noise rate upper bound eta(x) < 1/2 across entire input space,High,High
"Wei et al.",2022,"Learning with Noisy Labels Revisited: A Study on ImageNet and CIFAR-10N",Human / Real-world,"Real crowdsourced annotator error",ResNet-34 / PreAct-ResNet18,CIFAR-10N/CIFAR-100N/ImageNet,Human noise benchmark and empirical evaluation of existing methods,No,Yes,No,Yes,Yes,No,Yes,Yes,"Released CIFAR-10N/100N human-annotated noisy benchmark; demonstrated that methods tuned for synthetic noise degrade on real noise",Empirical dataset and benchmarking paper without novel theoretical risk bounds,Very High,Critical Core
"Song et al.",2022,"Learning from Noisy Labels with Deep Neural Networks: A Survey",All (Survey),"Comprehensive taxonomy",Deep Neural Networks,All major benchmarks,Survey & taxonomy of 100+ methods,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Comprehensive IEEE TPAMI survey categorizing robust losses, loss correction, sample selection, and robust architectures",Survey paper; does not introduce a standalone novel algorithm,High (Structural taxonomy),Critical Core
"Zhu et al.",2022,"Detecting Corrupted Labels Without Training a Model to Minimize Empirical Risk",Instance-dependent / Asymmetric,"Feature neighborhood consistency",k-NN / Graph representations,CIFAR-10/100/Clothing1M,Cluster-based and topological label corruption detection,Yes,Yes,No,No,No,No,No,Yes,"Proved that label noise creates local topological inconsistencies in feature space detectable without full model training",Relies on quality of self-supervised representation features,Medium,High
"Ma et al.",2020,"Normalized Loss Functions for Deep Learning with Noisy Labels",Symmetric & Asymmetric,"Class-conditional noise",Deep CNNs,CIFAR-10/CIFAR-100/Clothing1M,Active-Passive Loss (APL) / Normalized losses,Yes,Yes,No,No,Yes,No,Yes,Yes,"Demonstrated that normalizing any loss function makes it symmetric and thus robust to symmetric noise",Passive loss term can slow down early training convergence,High,High
"Pleiss et al.",2020,"Identifying Mislabeled Data using the Area Under the Margin Ranking",Symmetric / Real,"Memorisation dynamics over training epochs",ResNet / DenseNet,CIFAR-10/ImageNet/Clothing1M,Area Under the Margin (AUM) statistic,No,Yes,No,No,No,No,Yes,Yes,"Introduced AUM metric tracking difference between correct logit and maximal other logit across epochs to identify corrupted labels",Requires full epoch logging of training logits; post-hoc identification,Medium,High
